,Unnamed: 0,index,id,gender,age,race,importance_same_race,importance_same_religion,field,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,movies,concerts,music,shopping,yoga,Nombre de matchs
0,0,0,1.0,female,21.0,asian/pacific islander/asian-american,2.0,4.0,law,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,10.0,10.0,9.0,8.0,1.0,
1,1,10,2.0,female,24.0,european/caucasian-american,2.0,5.0,law,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,8.0,7.0,8.0,3.0,1.0,4.0
2,2,20,3.0,female,25.0,european/caucasian-american,8.0,4.0,economics,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,5.0,8.0,7.0,2.0
3,3,30,4.0,female,23.0,european/caucasian-american,1.0,1.0,law,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,8.0,7.0,1.0,8.0,0.0
4,4,40,5.0,female,21.0,european/caucasian-american,8.0,1.0,law,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,3.0,7.0,8.0,3.0,2.0
5,5,50,6.0,female,23.0,asian/pacific islander/asian-american,1.0,1.0,law,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,6.0,6.0,4.0,1.0,1.0,2.0
6,6,60,7.0,female,22.0,asian/pacific islander/asian-american,2.0,4.0,law,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,5.0,7.0,7.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,2.0
7,7,70,8.0,female,25.0,european/caucasian-american,1.0,1.0,masters in public administration,9.09,18.18,27.27,18.18,18.18,9.09,7.0,4.0,8.0,8.0,8.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,6.0,6.0,8.0,6.0,2.0
8,8,80,9.0,female,26.0,other,1.0,1.0,masters in public administration,20.0,10.0,20.0,30.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,9.0,9.0,8.0,3.0,8.0
9,9,90,10.0,female,26.0,european/caucasian-american,4.0,4.0,masters of social work&education,15.0,15.0,15.0,40.0,10.0,5.0,6.0,8.0,10.0,6.0,9.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,7.0,7.0,8.0,7.0,7.0,7.0
10,10,100,11.0,male,27.0,european/caucasian-american,7.0,3.0,finance,35.0,20.0,20.0,20.0,0.0,5.0,8.0,9.0,7.0,8.0,5.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,8.0,7.0,8.0,5.0,1.0,2.0
11,11,110,12.0,male,22.0,european/caucasian-american,1.0,1.0,law,60.0,0.0,0.0,40.0,0.0,0.0,9.0,9.0,9.0,10.0,9.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,7.0,7.0,9.0,5.0,5.0,0.0
12,12,120,13.0,male,22.0,asian/pacific islander/asian-american,3.0,5.0,law,19.0,18.0,19.0,18.0,14.0,12.0,4.0,7.0,8.0,8.0,3.0,7.0,8.0,2.0,9.0,5.0,6.0,4.0,7.0,7.0,6.0,8.0,8.0,9.0,9.0,8.0,1.0,2.0
13,13,130,14.0,male,23.0,european/caucasian-american,1.0,1.0,law,30.0,5.0,15.0,40.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,10.0,6.0,8.0,6.0,1.0,4.0
14,14,140,15.0,male,24.0,latino/hispanic american,3.0,1.0,law,30.0,10.0,20.0,10.0,10.0,20.0,7.0,7.0,7.0,9.0,9.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,6.0,7.0,2.0,1.0,8.0
15,15,150,16.0,male,25.0,european/caucasian-american,9.0,2.0,business,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,6.0,7.0,2.0,6.0,7.0,7.0,7.0,5.0,5.0,5.0,8.0,3.0,8.0,7.0,8.0,6.0,1.0,3.0
16,16,160,17.0,male,30.0,european/caucasian-american,1.0,1.0,political science,35.0,15.0,25.0,10.0,5.0,10.0,7.0,7.0,6.0,8.0,4.0,8.0,2.0,9.0,7.0,7.0,5.0,4.0,2.0,6.0,4.0,2.0,9.0,7.0,7.0,2.0,2.0,2.0
17,17,170,18.0,male,27.0,european/caucasian-american,8.0,8.0,business,33.33,11.11,11.11,11.11,11.11,22.22,6.0,8.0,6.0,8.0,9.0,5.0,5.0,5.0,9.0,4.0,3.0,4.0,4.0,2.0,6.0,9.0,9.0,3.0,6.0,2.0,1.0,1.0
18,18,180,19.0,male,28.0,european/caucasian-american,1.0,1.0,money,50.0,0.0,25.0,10.0,0.0,15.0,10.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,6.0,7.0,9.0,8.0,1.0,7.0,7.0,7.0,7.0,10.0,1.0
19,19,190,20.0,male,24.0,european/caucasian-american,1.0,1.0,finance,100.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,4.0,10.0,10.0,8.0,3.0,8.0,6.0,6.0,5.0,10.0,9.0
20,20,200,21.0,female,21.0,asian/pacific islander/asian-american,8.0,10.0,operations research,12.0,18.0,20.0,16.0,16.0,18.0,5.0,9.0,7.0,9.0,10.0,10.0,8.0,10.0,5.0,5.0,5.0,2.0,1.0,3.0,7.0,10.0,7.0,4.0,8.0,5.0,2.0,1.0
21,21,216,22.0,female,27.0,black/african american,1.0,2.0,tc [health ed],20.0,20.0,20.0,10.0,10.0,20.0,7.0,8.0,7.0,8.0,7.0,1.0,2.0,2.0,8.0,8.0,8.0,1.0,2.0,6.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,0.0
22,22,232,23.0,female,21.0,asian/pacific islander/asian-american,9.0,6.0,psychology,10.0,20.0,40.0,10.0,10.0,10.0,5.0,8.0,6.0,7.0,8.0,2.0,2.0,3.0,9.0,7.0,6.0,6.0,7.0,7.0,10.0,9.0,10.0,10.0,10.0,10.0,3.0,2.0
23,23,248,24.0,female,27.0,european/caucasian-american,2.0,3.0,social work,10.0,20.0,20.0,15.0,20.0,15.0,7.0,9.0,9.0,8.0,8.0,10.0,1.0,10.0,9.0,6.0,6.0,10.0,6.0,3.0,6.0,1.0,9.0,8.0,8.0,6.0,7.0,3.0
24,24,264,25.0,female,25.0,european/caucasian-american,10.0,2.0,social work,20.0,20.0,15.0,15.0,15.0,15.0,7.0,9.0,7.0,8.0,6.0,7.0,4.0,7.0,7.0,6.0,3.0,5.0,6.0,8.0,9.0,9.0,10.0,6.0,8.0,8.0,4.0,0.0
25,25,280,26.0,female,23.0,european/caucasian-american,2.0,4.0,social work,20.0,20.0,20.0,15.0,15.0,10.0,7.0,8.0,8.0,8.0,8.0,9.0,4.0,9.0,7.0,7.0,4.0,6.0,5.0,7.0,5.0,3.0,9.0,6.0,4.0,5.0,1.0,0.0
26,26,296,27.0,female,22.0,latino/hispanic american,1.0,5.0,speech language pathology,17.0,10.0,18.0,20.0,25.0,10.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,7.0,7.0,8.0,0.0
27,27,312,28.0,female,26.0,european/caucasian-american,,,speech languahe pathology,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
28,28,313,29.0,female,26.0,european/caucasian-american,,,speech languahe pathology,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
29,29,314,30.0,female,26.0,european/caucasian-american,,,speech languahe pathology,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
30,30,315,31.0,female,26.0,european/caucasian-american,,,speech languahe pathology,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
31,31,316,32.0,female,26.0,european/caucasian-american,,,speech languahe pathology,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
32,32,317,33.0,female,26.0,european/caucasian-american,,,speech languahe pathology,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
33,33,318,34.0,female,26.0,european/caucasian-american,,,speech languahe pathology,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
34,34,319,35.0,female,26.0,european/caucasian-american,,,speech languahe pathology,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
35,35,320,36.0,female,26.0,european/caucasian-american,,,speech languahe pathology,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
36,36,321,37.0,female,26.0,european/caucasian-american,,,speech languahe pathology,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
37,37,322,38.0,female,26.0,european/caucasian-american,,,speech languahe pathology,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
38,38,323,39.0,female,26.0,european/caucasian-american,,,speech languahe pathology,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
39,39,324,40.0,female,26.0,european/caucasian-american,,,speech languahe pathology,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
40,40,325,41.0,female,26.0,european/caucasian-american,,,speech languahe pathology,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
41,41,326,42.0,female,26.0,european/caucasian-american,,,speech languahe pathology,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
42,42,327,43.0,female,26.0,european/caucasian-american,,,speech languahe pathology,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
43,43,328,44.0,female,22.0,european/caucasian-american,4.0,5.0,social work,20.0,22.0,18.0,15.0,15.0,10.0,6.0,9.0,8.0,7.0,8.0,8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,7.0,6.0,8.0,9.0,5.0,0.0
44,44,344,45.0,female,23.0,european/caucasian-american,2.0,4.0,law,10.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,8.0,8.0,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,9.0,6.0,4.0,2.0
45,45,360,46.0,female,24.0,european/caucasian-american,4.0,8.0,law,35.0,10.0,20.0,20.0,10.0,5.0,8.0,8.0,9.0,8.0,9.0,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,6.0,7.0,10.0,6.0,2.0
46,46,376,47.0,female,27.0,asian/pacific islander/asian-american,1.0,1.0,psychology,50.0,0.0,50.0,0.0,0.0,0.0,7.0,5.0,9.0,9.0,7.0,4.0,1.0,5.0,9.0,5.0,5.0,1.0,2.0,4.0,9.0,6.0,7.0,5.0,8.0,10.0,9.0,4.0
47,47,392,48.0,female,30.0,european/caucasian-american,4.0,8.0,educational psychology,30.0,20.0,30.0,10.0,0.0,10.0,6.0,8.0,6.0,8.0,8.0,4.0,6.0,10.0,7.0,8.0,6.0,6.0,8.0,6.0,10.0,10.0,8.0,6.0,6.0,7.0,9.0,0.0
48,48,408,49.0,female,21.0,asian/pacific islander/asian-american,2.0,2.0,applied maths/econs,30.0,5.0,30.0,15.0,15.0,5.0,7.0,7.0,7.0,7.0,8.0,7.0,6.0,6.0,7.0,4.0,4.0,5.0,4.0,7.0,7.0,6.0,10.0,7.0,7.0,7.0,7.0,0.0
49,49,424,50.0,female,25.0,european/caucasian-american,9.0,7.0,mathematics,20.0,23.0,23.0,22.0,7.0,5.0,8.0,9.0,9.0,9.0,7.0,9.0,7.0,9.0,8.0,8.0,8.0,5.0,6.0,9.0,7.0,9.0,8.0,7.0,7.0,8.0,3.0,2.0
50,50,440,51.0,female,26.0,european/caucasian-american,7.0,8.0,statistics,20.0,25.0,20.0,15.0,15.0,5.0,8.0,7.0,8.0,8.0,6.0,6.0,1.0,4.0,6.0,7.0,7.0,7.0,1.0,3.0,9.0,1.0,6.0,6.0,7.0,5.0,1.0,5.0
51,51,456,52.0,female,27.0,european/caucasian-american,5.0,8.0,organizational psychology,10.0,10.0,30.0,25.0,10.0,15.0,7.0,8.0,7.0,9.0,5.0,6.0,4.0,6.0,10.0,9.0,8.0,7.0,6.0,7.0,5.0,6.0,7.0,8.0,7.0,4.0,9.0,2.0
52,52,472,53.0,female,23.0,black/african american,8.0,1.0,law,50.0,10.0,20.0,10.0,10.0,0.0,8.0,2.0,7.0,8.0,8.0,7.0,2.0,7.0,10.0,2.0,2.0,7.0,4.0,7.0,2.0,8.0,10.0,10.0,10.0,10.0,2.0,2.0
53,53,488,54.0,female,24.0,latino/hispanic american,6.0,4.0,law,20.0,20.0,20.0,15.0,15.0,10.0,6.0,9.0,6.0,8.0,7.0,3.0,2.0,4.0,10.0,10.0,8.0,7.0,1.0,5.0,10.0,9.0,10.0,9.0,9.0,10.0,1.0,3.0
54,54,504,55.0,male,25.0,asian/pacific islander/asian-american,9.0,6.0,operations research,25.0,20.0,25.0,20.0,10.0,0.0,3.0,10.0,8.0,9.0,5.0,4.0,9.0,3.0,7.0,7.0,8.0,5.0,7.0,9.0,7.0,5.0,8.0,8.0,10.0,4.0,2.0,1.0
55,55,523,56.0,male,30.0,asian/pacific islander/asian-american,1.0,1.0,law,30.0,20.0,10.0,30.0,0.0,10.0,5.0,7.0,5.0,8.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,10.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,0.0
56,56,542,57.0,male,23.0,asian/pacific islander/asian-american,1.0,6.0,mechanical engineering,20.0,25.0,20.0,15.0,10.0,10.0,6.0,9.0,6.0,8.0,4.0,1.0,1.0,7.0,5.0,3.0,3.0,3.0,1.0,1.0,9.0,8.0,7.0,2.0,5.0,2.0,1.0,0.0
57,57,561,58.0,male,24.0,european/caucasian-american,1.0,1.0,economics,25.0,35.0,30.0,10.0,0.0,0.0,3.0,8.0,3.0,7.0,2.0,8.0,9.0,6.0,5.0,7.0,7.0,2.0,5.0,5.0,9.0,6.0,4.0,6.0,5.0,2.0,1.0,0.0
58,58,580,59.0,male,24.0,european/caucasian-american,3.0,3.0,psychology,25.0,15.0,25.0,25.0,15.0,15.0,7.0,9.0,8.0,9.0,9.0,9.0,1.0,8.0,7.0,8.0,8.0,10.0,6.0,7.0,8.0,1.0,3.0,8.0,1.0,6.0,8.0,1.0
59,59,599,60.0,male,28.0,european/caucasian-american,6.0,6.0,finance,25.0,15.0,25.0,15.0,0.0,20.0,7.0,8.0,6.0,8.0,7.0,9.0,7.0,3.0,6.0,8.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,3.0,4.0
